,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home,concat
200,1,Los Angeles,CA,California,6,10039107,2020,9,11,252066,1042,2511.0,8.05,-0.29100000000000004,-0.11699999999999999,-.0557,-0.431,-0.373,0.12,-0.142,911
401,2,New York City,NY,New York,36,8336817,2020,9,11,241936,250,2902.0,3.08,-0.22,-0.059000000000000004,.812,-0.379,-0.413,0.102,-0.111,911
602,7,Dallas,TX,Texas,48,2635516,2020,9,11,78291,343,2971.0,12.0,-0.157,-0.0886,.234,-0.336,-0.35600000000000004,0.0843,-0.0959,911
803,9,Seattle,WA,Washington,53,2252782,2020,9,11,20718,133,920.0,3.97,-0.25,-0.106,.711,-0.503,-0.469,0.136,-0.149,911
1004,13,Detroit,MI,Michigan,26,1749343,2020,9,11,33138,261,1894.0,10.5,-0.0771,-0.0614,.,-0.35,-0.34600000000000003,0.0614,-0.0638,911
1205,21,San Francisco,CA,California,6,881549,2020,9,11,10191,68,1156.0,7.02,-0.557,-0.28300000000000003,-.19,-0.644,-0.56,0.217,-0.25,911
1406,25,Boston,MA,Massachusetts,25,803907,2020,9,11,23028,108,2865.0,8.87,-0.293,-0.12300000000000001,.644,-0.5670000000000001,-0.43700000000000006,0.11,-0.12,911
1607,28,Denver,CO,Colorado,8,727211,2020,9,11,11685,58,1607.0,5.26,-0.263,-0.05,.387,-0.45399999999999996,-0.396,0.107,-0.11800000000000001,911
1808,38,Miami,FL,Florida,12,2716940,2020,9,11,163374,481,6013.0,15.3,-0.266,-0.15,-.344,-0.491,-0.34299999999999997,0.114,-0.136,911
2009,48,Honolulu,HI,Hawaii,15,974563,2020,9,11,9503,143,975.0,13.6,-0.42100000000000004,-0.157,-.489,-0.61,-0.42,0.171,-0.21100000000000002,911
199,1,Los Angeles,CA,California,6,10039107,2020,9,10,251024,1165,2500.0,8.57,-0.289,-0.111,-.04,-0.42700000000000005,-0.376,0.11900000000000001,-0.141,910
400,2,New York City,NY,New York,36,8336817,2020,9,10,241686,335,2899.0,3.21,-0.223,-0.0583,.808,-0.38299999999999995,-0.41600000000000004,0.10099999999999999,-0.11,910
601,7,Dallas,TX,Texas,48,2635516,2020,9,10,77948,214,2958.0,12.5,-0.156,-0.0843,.2,-0.33,-0.359,0.0843,-0.0959,910
802,9,Seattle,WA,Washington,53,2252782,2020,9,10,20585,126,914.0,4.13,-0.24100000000000002,-0.0971,.803,-0.496,-0.47,0.131,-0.145,910
1003,13,Detroit,MI,Michigan,26,1749343,2020,9,10,32877,231,1879.0,10.2,-0.0786,-0.0586,.,-0.341,-0.35,0.0614,-0.0638,910
1204,21,San Francisco,CA,California,6,881549,2020,9,10,10123,46,1148.0,6.87,-0.55,-0.276,-.149,-0.6409999999999999,-0.56,0.21,-0.243,910
1405,25,Boston,MA,Massachusetts,25,803907,2020,9,10,22920,89,2851.0,5.81,-0.289,-0.11900000000000001,.673,-0.563,-0.439,0.106,-0.11599999999999999,910
1606,28,Denver,CO,Colorado,8,727211,2020,9,10,11627,35,1599.0,5.13,-0.264,-0.0443,.373,-0.447,-0.4,0.106,-0.11699999999999999,910
1807,38,Miami,FL,Florida,12,2716940,2020,9,10,162893,461,5995.0,15.3,-0.267,-0.149,-.347,-0.491,-0.34600000000000003,0.113,-0.134,910
2008,48,Honolulu,HI,Hawaii,15,974563,2020,9,10,9360,158,960.0,15.0,-0.42,-0.156,-.503,-0.61,-0.426,0.17300000000000001,-0.212,910
198,1,Los Angeles,CA,California,6,10039107,2020,9,9,249859,618,2489.0,8.43,-0.28600000000000003,-0.107,-.0257,-0.423,-0.376,0.11699999999999999,-0.14,99
399,2,New York City,NY,New York,36,8336817,2020,9,9,241351,210,2895.0,3.15,-0.218,-0.0532,.856,-0.381,-0.415,0.0978,-0.107,99
600,7,Dallas,TX,Texas,48,2635516,2020,9,9,77734,408,2949.0,11.4,-0.154,-0.0843,.187,-0.326,-0.359,0.0843,-0.0959,99
801,9,Seattle,WA,Washington,53,2252782,2020,9,9,20459,114,908.0,3.94,-0.237,-0.0957,.817,-0.49,-0.47,0.13,-0.14300000000000002,99
1002,13,Detroit,MI,Michigan,26,1749343,2020,9,9,32646,245,1866.0,9.29,-0.07,-0.0486,.,-0.33,-0.349,0.0586,-0.061,99
1203,21,San Francisco,CA,California,6,881549,2020,9,9,10077,95,1143.0,7.41,-0.544,-0.271,-.12,-0.637,-0.56,0.207,-0.24,99
1404,25,Boston,MA,Massachusetts,25,803907,2020,9,9,22831,43,2840.0,5.74,-0.28,-0.109,.714,-0.5589999999999999,-0.439,0.10300000000000001,-0.113,99
1605,28,Denver,CO,Colorado,8,727211,2020,9,9,11592,13,1594.0,4.97,-0.259,-0.0371,.427,-0.44,-0.401,0.10099999999999999,-0.11199999999999999,99
1806,38,Miami,FL,Florida,12,2716940,2020,9,9,162432,407,5978.0,15.9,-0.26899999999999996,-0.149,-.349,-0.491,-0.34600000000000003,0.113,-0.134,99
2007,48,Honolulu,HI,Hawaii,15,974563,2020,9,9,9202,88,944.0,15.4,-0.41700000000000004,-0.153,-.516,-0.611,-0.426,0.17300000000000001,-0.212,99
197,1,Los Angeles,CA,California,6,10039107,2020,9,8,249241,420,2483.0,9.56,-0.28600000000000003,-0.106,-.02,-0.42,-0.374,0.11699999999999999,-0.14,98
398,2,New York City,NY,New York,36,8336817,2020,9,8,241141,222,2892.0,3.25,-0.22399999999999998,-0.0594,.817,-0.387,-0.41700000000000004,0.0996,-0.109,98
599,7,Dallas,TX,Texas,48,2635516,2020,9,8,77326,468,2934.0,11.2,-0.146,-0.0714,.2,-0.32299999999999995,-0.361,0.0857,-0.0975,98
800,9,Seattle,WA,Washington,53,2252782,2020,9,8,20345,6,903.0,3.9,-0.23399999999999999,-0.0943,.847,-0.489,-0.47,0.129,-0.142,98
1001,13,Detroit,MI,Michigan,26,1749343,2020,9,8,32401,98,1852.0,8.32,-0.0643,-0.0457,.,-0.324,-0.349,0.0571,-0.0594,98
1202,21,San Francisco,CA,California,6,881549,2020,9,8,9982,0,1132.0,7.05,-0.539,-0.263,-.101,-0.634,-0.557,0.203,-0.235,98
